Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
273,273,0,1,0,0,0,6615,16223
274,274,0,1,0,0,0,6615,16223
275,275,0,1,0,0,0,6615,16223
276,276,0,1,1,1,0,6615,16223
277,277,0,1,0,1,0,6615,16223
278,278,0,1,0,1,0,6615,16223
279,279,0,1,0,1,0,6615,16224
280,280,0,1,1,1,0,6615,16224
281,281,0,1,0,1,1,6615,16224
282,282,0,1,0,1,1,6615,16224
283,283,0,1,0,1,1,6615,16224
284,284,0,1,1,1,1,6615,16224
285,285,0,1,0,1,1,6615,16224
286,286,0,1,0,1,1,6615,16224
287,287,0,1,0,1,1,6615,16224
288,288,0,1,1,1,1,6615,16224
289,289,0,1,0,1,1,6615,16224
290,290,0,1,0,1,1,6616,16224
291,291,0,1,0,1,1,6616,16224
292,292,0,1,1,1,1,6616,16224
293,293,0,1,0,1,0,6616,16224
294,294,0,1,0,1,0,6616,16224
295,295,0,1,0,1,0,6616,16224
296,296,0,1,1,0,0,6616,16224
297,297,0,1,0,0,0,6616,16224
298,298,0,1,0,0,0,6616,16224
299,299,0,1,0,0,0,6616,16225
300,300,0,1,1,0,0,6616,16225
301,301,0,1,0,0,1,6616,16225
302,302,0,1,0,0,1,6616,16225
303,303,0,1,0,0,1,6616,16225
304,304,0,1,1,0,1,6616,16225
305,305,0,1,0,0,1,6616,16225
306,306,0,1,0,0,1,6616,16225
307,307,0,1,0,0,1,6616,16225
308,308,0,1,1,0,1,6616,16225
309,309,0,1,0,0,0,6616,16225
310,310,0,1,0,0,0,6617,16225
311,311,0,1,0,0,0,6617,16225
312,312,0,1,1,0,0,6617,16225
313,313,0,1,0,0,0,6617,16225
314,314,0,1,0,0,0,6617,16225
315,315,0,1,0,0,0,6617,16225
316,316,0,1,1,0,0,6617,16225
317,317,0,1,0,0,0,6617,16225
318,318,0,1,0,0,0,6617,16225
319,319,0,1,0,0,0,6617,16226
320,320,0,1,1,0,0,6617,16226
321,321,0,1,0,0,1,6617,16226
322,322,0,1,0,0,1,6617,16226
323,323,0,1,0,0,1,6617,16226
324,324,0,1,1,0,1,6617,16226
325,325,0,1,0,0,0,6617,16226
326,326,0,1,0,0,0,6617,16226
327,327,0,1,0,0,0,6617,16226
328,328,0,1,1,0,0,6617,16226
329,329,0,1,0,0,0,6617,16226
330,330,0,1,0,0,0,6618,16226
331,331,0,1,0,0,0,6618,16226
332,332,0,1,1,0,0,6618,16226
333,333,0,1,0,0,0,6618,16226
334,334,0,1,0,0,0,6618,16226
335,335,0,1,0,0,0,6618,16226
336,336,0,1,1,1,0,6618,16226
337,337,0,1,0,1,1,6618,16226
338,338,0,1,0,1,1,6618,16226
339,339,0,1,0,1,1,6618,16227
340,340,0,1,1,1,1,6618,16227
341,341,0,1,0,1,1,6618,16227
342,342,0,1,0,1,1,6618,16227
343,343,0,1,0,1,1,6618,16227
344,344,0,1,1,1,1,6618,16227
345,345,0,1,0,1,0,6618,16227
